Jun 04 13:41:01.119: vmx| Log for VMware Player pid=31326 version=2.5.1 build=build-126130 option=Release
Jun 04 13:41:01.542: vmx| DICT     pref.mruDest2.present = FALSE
Jun 04 13:41:01.542: vmx| DICT  pref.mruDest2.destString = 
Jun 04 13:41:01.542: vmx| DICT        pref.mruDest2.user = 
Jun 04 13:41:01.542: vmx| DICT     pref.mruDest3.present = FALSE
Jun 04 13:41:01.542: vmx| DICT  pref.mruDest3.destString = 
Jun 04 13:41:01.542: vmx| DICT        pref.mruDest3.user = 
Jun 04 13:41:01.542: vmx| DICT     pref.mruDest4.present = FALSE
Jun 04 13:41:01.542: vmx| DICT  pref.mruDest4.destString = 
Jun 04 13:41:01.542: vmx| DICT        pref.mruDest4.user = 
Jun 04 13:41:01.542: vmx| DICT     pref.mruDest5.present = FALSE
Jun 04 13:41:01.542: vmx| DICT  pref.mruDest5.destString = 
Jun 04 13:41:01.542: vmx| DICT        pref.mruDest5.user = 
Jun 04 13:41:01.542: vmx| DICT     pref.mruDest6.present = FALSE
Jun 04 13:41:01.542: vmx| DICT  pref.mruDest6.destString = 
Jun 04 13:41:01.542: vmx| DICT        pref.mruDest6.user = 
Jun 04 13:41:01.542: vmx| DICT     pref.mruDest7.present = FALSE
Jun 04 13:41:01.542: vmx| DICT  pref.mruDest7.destString = 
Jun 04 13:41:01.542: vmx| DICT        pref.mruDest7.user = 
Jun 04 13:41:01.542: vmx| DICT      pref.mruATS0.present = FALSE
Jun 04 13:41:01.542: vmx| DICT    pref.mruATS0.atsString = 
Jun 04 13:41:01.542: vmx| DICT       pref.mruATS0.domain = 
Jun 04 13:41:01.542: vmx| DICT         pref.mruATS0.user = 
Jun 04 13:41:01.542: vmx| DICT       pref.mruATS0.secure = FALSE
Jun 04 13:41:01.542: vmx| DICT         pref.mruATS0.port = 0
Jun 04 13:41:01.542: vmx| DICT      pref.mruATS1.present = FALSE
Jun 04 13:41:01.542: vmx| DICT    pref.mruATS1.atsString = 
Jun 04 13:41:01.542: vmx| DICT       pref.mruATS1.domain = 
Jun 04 13:41:01.542: vmx| DICT         pref.mruATS1.user = 
Jun 04 13:41:01.542: vmx| DICT       pref.mruATS1.secure = FALSE
Jun 04 13:41:01.542: vmx| DICT         pref.mruATS1.port = 0
Jun 04 13:41:01.542: vmx| DICT      pref.mruATS2.present = FALSE
Jun 04 13:41:01.542: vmx| DICT    pref.mruATS2.atsString = 
Jun 04 13:41:01.542: vmx| DICT       pref.mruATS2.domain = 
Jun 04 13:41:01.542: vmx| DICT         pref.mruATS2.user = 
Jun 04 13:41:01.542: vmx| DICT       pref.mruATS2.secure = FALSE
Jun 04 13:41:01.542: vmx| DICT         pref.mruATS2.port = 0
Jun 04 13:41:01.542: vmx| DICT      pref.mruATS3.present = FALSE
Jun 04 13:41:01.542: vmx| DICT    pref.mruATS3.atsString = 
Jun 04 13:41:01.542: vmx| DICT       pref.mruATS3.domain = 
Jun 04 13:41:01.542: vmx| DICT         pref.mruATS3.user = 
Jun 04 13:41:01.542: vmx| DICT       pref.mruATS3.secure = FALSE
Jun 04 13:41:01.542: vmx| DICT         pref.mruATS3.port = 0
Jun 04 13:41:01.542: vmx| DICT      pref.mruATS4.present = FALSE
Jun 04 13:41:01.542: vmx| DICT    pref.mruATS4.atsString = 
Jun 04 13:41:01.542: vmx| DICT       pref.mruATS4.domain = 
